,íd,order,name
0,cardiffnlp/twitter-roberta-base-emotion-latest,0,cardiffnlp1
1,cappuch/Emotions_BERT,1,cappuch
2,wesleyacheng/twitter-emotion-multilabel-classification-with-bert,2,wesleyacheng2
3,lxyuan/distilbert-base-multilingual-cased-sentiments-student,3,lxyuan
4,cardiffnlp/twitter-roberta-base-sentiment-latest,4,cardiffnlp3
5,nikesh66/Sarcasm-Detection-using-BERT,5,nikesh66
6,finiteautomata/bertweet-base-sentiment-analysis,6,finiteautomata
7,SamLowe/roberta-base-go_emotions,7,SamLowe
8,cardiffnlp/twitter-roberta-base-emotion-multilabel-latest,8,cardiffnlp3
9,meetplace1/emotiondetector,9,meetplace1
10,ayoubkirouane/BERT-Emotions-Classifier,10,ayoubkirouane
11,vamossyd/emtract-distilbert-base-uncased-emotion,11,vamossyd
12,vibhorag101/roberta-base-emotion-prediction-phr,12,vibhorag101
13,cardiffnlp/twitter-roberta-large-emotion-latest,13,cardiffnlp2
14,Azma-AI/roberta-base-emotion-classifier,14,Azma-AI
15,Mahendrakharra/Emotion_Classification_DistilBertBase_FT,15,Mahendrakharra
16,rahulmallah/autotrain-emotion-detection-1366352626,16,rahulmallah
17,siebert/sentiment-roberta-large-english,17,siebert
18,bdotloh/distilbert-base-uncased-go-emotion-empathetic-dialogues-context-v2,18,bdotloh
19,ZachBeesley/Tweet-Emotion,19,ZachBeesley
20,shalinialisha/bert-emotion,20,shalinialisha
21,jitesh/emotion-english,21,jitesh
22,wesleyacheng/twitter-emotion-classification-with-bert,22,wesleyacheng1
23,elozano/tweet_emotion_eval,23,elozano
24,distilbert/distilbert-base-uncased-finetuned-sst-2-english,24,distilbert
